Name,Quantity,Designator,Footprint,Manufacturer Part,Manufacturer,Part Code,,,,,,,,
1M,1,R25,R0603_2,CRGP0603F1M0,TE Connectivity Passive Product,CT01413,,,,,,,,
4.7k,2,"R27,R28",R0603_2,CRCW06034K70FKEA,Vishay Dale,CT03556,,,,,,,,
2k,4,"R34,R37,R38,R41",R0603,RNCP0603FTD2K00,Stackpole Electronics Inc,CT01882,,,,,,,,
100R,1,R45,R0603_1,WR06X1000FTL,Walsin Technology Corporation,CT02451,,,,,,,,
49.9k,1,R48,R0603_2,RC0603FR-0749K9L,YAGEO,Unavailable,,,,,,,,
61.9k,1,R49,R0603_2,CRCW060361K9FKEA,Vishay Dale,Unavailable,,,,,,,,
71.5k,1,R51,R0603_2,CRCW060371K5FKEA,Vishay Dale,Unavailable,,,,,,,,
9.53k,1,R53,R0603_2,CRCW06039K53FKEA,Vishay Dale,Unavailable,,,,,,,,
4.53k,1,R54,R0603_2,CRCW06034K53FKEA,Vishay Dale,Unavailable,,,,,,,,
2.61k,1,R55,R0603_2,RC0603FR-072K61L,YAGEO,Unavailable,,,,,,,,
10k,5,"R57,R60,R62,R63,R65",R0603_2,ESR03EZPF1002,Rohm Semiconductor,CT00413,,,,,,,,
100k,2,"R58,R59",R0603,ESR03EZPJ104,Rohm Semiconductor,CT01415,,,,,,,,
69.8k,1,R61,R0603_1,RC0603FR-0769K8L,YAGEO,CT03793,,,,,,,,
22.1k,1,R64,R0603_1,RC0603FR-0722K1L,YAGEO,CT03794,,,,,,,,
100k,3,"R66,R67,R83",R0603_2,ESR03EZPJ104,Rohm Semiconductor,CT01415,,,,,,,,
332k,1,R73,R0603,RCS0603332KFKEA,Vishay Dale,CT01416,,,,,,,,
JUMPER-PAD-3-NO-0603,1,SJ1,SOLDERJUMPER 3X 0603,RC0603JR-070RL,YAGEO,CT03356,,,,,,,,
JUMPER-PAD-2-NO,3,"SJ2,SJ3,SJ4",SOLDERJUMPER 2X 0603,RC0603JR-070RL,YAGEO,CT03356,,,,,,,,
SW-SMD-ESP32,2,"SW1,SW2",SW-SMD-ESP32,PTS820J25MSMTRLFS,C&K,CT02555,,,,,,,,
